Week,IST:ARCLK,IST:VESTL,IST:GARAN,IST:HALKB,IST:TCELL,IST:TTKOM
3.07.2016,0,0,9,60,0,4
10.07.2016,26,7,86,69,0,6
17.07.2016,0,13,89,97,7,4
24.07.2016,0,4,72,82,15,4
31.07.2016,17,25,72,100,0,6
7.08.2016,0,4,44,51,14,2
14.08.2016,11,9,72,64,0,7
21.08.2016,0,5,74,45,34,4
28.08.2016,15,8,56,25,0,0
4.09.2016,0,11,100,58,0,0
11.09.2016,13,0,37,41,17,7
18.09.2016,18,0,65,52,10,2
25.09.2016,9,14,62,65,19,12
2.10.2016,15,20,84,33,0,4
9.10.2016,0,9,57,51,16,7
16.10.2016,0,18,73,45,0,10
23.10.2016,10,16,46,46,0,8
30.10.2016,0,9,37,50,0,6
6.11.2016,0,16,0,34,0,0
13.11.2016,19,0,0,35,0,5
20.11.2016,12,15,0,0,0,0
27.11.2016,0,5,0,0,0,0
4.12.2016,11,4,0,0,0,0
11.12.2016,0,8,0,0,0,0
18.12.2016,0,10,0,0,0,0
25.12.2016,0,15,0,0,0,0
1.01.2017,16,0,0,0,0,0
8.01.2017,11,8,0,0,33,0
15.01.2017,17,20,7,0,61,0
22.01.2017,0,22,8,0,23,0
29.01.2017,0,20,0,0,27,0
5.02.2017,14,13,0,0,20,2
12.02.2017,0,13,0,0,27,0
19.02.2017,0,13,8,0,8,0
26.02.2017,27,0,9,0,11,0
5.03.2017,32,9,0,0,20,0
12.03.2017,27,11,8,0,27,0
19.03.2017,25,9,19,11,20,0
26.03.2017,12,16,0,0,34,0
2.04.2017,56,12,0,0,16,0
9.04.2017,0,10,16,20,23,0
16.04.2017,19,0,0,0,50,0
23.04.2017,13,11,0,0,24,0
30.04.2017,24,11,7,12,50,0
7.05.2017,0,5,0,0,29,0
14.05.2017,11,6,16,0,32,0
21.05.2017,25,12,7,0,95,0
28.05.2017,9,11,0,0,25,0
4.06.2017,19,10,0,0,48,0
11.06.2017,39,0,0,0,60,0
18.06.2017,0,9,0,27,45,0
25.06.2017,15,6,0,0,25,0
2.07.2017,0,17,0,0,49,0
9.07.2017,0,15,0,0,41,0
16.07.2017,0,11,9,0,23,0
23.07.2017,0,0,0,0,35,0
30.07.2017,11,7,0,0,37,0
6.08.2017,11,0,0,0,34,0
13.08.2017,9,21,0,0,14,0
20.08.2017,0,20,0,0,39,0
27.08.2017,20,0,22,0,0,2
3.09.2017,14,11,31,12,29,2
10.09.2017,18,18,0,0,18,0
17.09.2017,37,0,0,0,0,0
24.09.2017,9,0,0,0,16,0
1.10.2017,23,12,0,0,57,3
8.10.2017,17,14,0,0,16,1
15.10.2017,10,0,19,0,11,2
22.10.2017,62,25,0,0,32,0
29.10.2017,40,100,6,0,100,0
5.11.2017,19,49,0,0,45,0
12.11.2017,28,37,0,0,46,0
19.11.2017,55,34,9,17,12,0
26.11.2017,34,18,0,0,19,0
3.12.2017,24,11,0,0,33,14
10.12.2017,40,4,0,10,49,9
17.12.2017,0,29,0,0,27,13
24.12.2017,28,25,0,0,24,2
31.12.2017,28,43,0,0,39,0
7.01.2018,36,40,0,0,28,0
14.01.2018,44,33,14,0,55,2
21.01.2018,49,26,0,0,16,0
28.01.2018,68,23,0,0,52,0
4.02.2018,22,14,8,0,54,0
11.02.2018,18,22,0,0,31,0
18.02.2018,47,18,0,0,41,0
25.02.2018,47,32,6,0,0,2
4.03.2018,58,30,0,0,10,0
11.03.2018,46,22,8,0,0,0
18.03.2018,30,38,8,0,0,0
25.03.2018,0,28,0,0,19,8
1.04.2018,28,21,13,0,0,0
8.04.2018,46,35,0,0,0,2
15.04.2018,44,44,0,0,0,0
22.04.2018,51,25,0,0,0,0
29.04.2018,52,7,0,24,0,0
6.05.2018,49,17,0,0,0,2
13.05.2018,47,10,0,0,0,0
20.05.2018,19,29,0,0,12,0
27.05.2018,27,18,14,0,0,0
3.06.2018,34,0,0,0,0,0
10.06.2018,0,20,0,0,0,0
17.06.2018,20,11,0,0,26,0
24.06.2018,53,20,0,0,34,0
1.07.2018,38,20,0,0,52,3
8.07.2018,70,12,0,0,58,0
15.07.2018,58,5,0,12,27,2
22.07.2018,100,25,0,0,40,0
29.07.2018,85,20,0,0,21,0
5.08.2018,55,11,39,0,37,0
12.08.2018,58,18,52,0,65,0
19.08.2018,0,0,16,0,33,0
26.08.2018,31,13,13,62,49,3
2.09.2018,59,18,0,53,79,0
9.09.2018,25,10,0,66,94,1
16.09.2018,59,8,0,21,47,16
23.09.2018,51,17,0,0,0,100
30.09.2018,65,23,10,12,15,86
7.10.2018,67,17,0,0,0,75
14.10.2018,55,18,0,0,0,62
21.10.2018,46,16,0,24,0,59
28.10.2018,82,17,0,0,0,47
4.11.2018,70,28,9,0,0,72
11.11.2018,26,15,15,0,18,57
18.11.2018,37,21,0,0,13,22
25.11.2018,42,21,0,22,0,0
2.12.2018,12,9,11,19,0,0
9.12.2018,58,14,0,0,15,4
16.12.2018,42,12,0,19,0,0
23.12.2018,27,16,0,14,0,0
30.12.2018,0,21,0,11,0,2
